 (New), (Baru)
Error occurred,Terjadi kesalahan
Error syncing leads,Terjadi kesalahan saat menyinkronkan prospek
Error updating Lead Sync Source,Terjadi kesalahan saat memperbarui Sumber Sinkronisasi Prospek
Error updating field,Kesalahan saat memperbarui bidang
Event Details,Detail Acara
Event ID is required,ID Peristiwa diperlukan
Event Notifications,Pemberitahuan Acara
Event Title,Judul Acara
Event created successfully,Acara berhasil dibuat
Event deleted successfully,Acara berhasil dihapus
Events,Acara
Every 10 Minutes,Setiap 10 Menit
Every 5 Minutes,Setiap 5 Menit
Excel,Excel
Exchange Rate,Kurs
Exchange Rate Provider,Penyedia Nilai Tukar
Exotel,Exotel
Exotel Exception,Pengecualian Exotel
Exotel Integration Disabled,Integrasi Exotel Dinonaktifkan
Exotel Number,Nomor Exotel
Exotel Number Missing,Nomor Exotel Hilang
Exotel Number {0} is not valid,Nomor Exotel {0} tidak valid
Expand,Perluas
Expected Closure Date,Tanggal Perkiraan Penutupan
Expected Deal Value,Nilai Perkiraan Kesepakatan
Expected closure date is required.,Perkiraan tanggal penutupan wajib diisi.
Expected deal value is required.,Nilai kesepakatan yang diharapkan diperlukan.
Expired,Kedaluwarsa
Export,Ekspor
Export Type,Tipe Ekspor
FCRM Note,Catatan FCRM
FCRM Settings,Pengaturan FCRM
FROM,DARI
Facebook,Facebook
Facebook Form ID,ID Formulir Facebook
Facebook Lead Form,Formulir Prospek Facebook
Facebook Lead Form Question,Pertanyaan Formulir Prospek Facebook
Facebook Lead ID,ID Pemimpin Facebook
Facebook Page,Halaman Facebook
Failed,Gagal
Failed Lead Sync Log,Log Sinkronisasi Prospek Gagal
Failed to Add Users,Gagal Menambahkan Pengguna
Failed to add reaction to the message,Gagal menambahkan reaksi pada pesan
Failed to capture Twilio recording,Gagal menangkap rekaman Twilio
"Failed to create Email Account, Invalid credentials","Gagal membuat Akun Email, Kredensial tidak valid"
Failed to create template,Gagal membuat templat
Failed to delete lead sync source,Gagal menghapus sumber sinkronisasi prospek
Failed to delete note,Gagal menghapus catatan
Failed to delete template,Gagal menghapus templat
Failed to fetch exchange rate from {0} to {1} on {2}. Please check your internet connection or try again later.,Gagal mengambil nilai tukar dari {0} ke {1} pada {2}. Harap periksa koneksi internet Anda atau coba lagi nanti.
Failed to load form controller: {0},Gagal memuat kontroler formulir: {0}
Failed to rename template,Gagal mengganti nama templat
Failed to save settings,Gagal menyimpan pengaturan
Failed to send WhatsApp message,Gagal mengirim pesan WhatsApp
Failed to send WhatsApp template,Gagal mengirim templat WhatsApp
Failed to send comment!,Gagal mengirim komentar!
Failed to send email!,Gagal mengirim email!
"Failed to update Email Account, Invalid credentials","Gagal memperbarui Akun Email, Kredensial tidak valid"
Failed to update Twilio call status,Gagal memperbarui status panggilan Twilio
Failed to update attending status,Gagal memperbarui status kehadiran
Failed to update password,Gagal memperbarui kata sandi
Failed to update source,Gagal memperbarui sumber
Failed to update template,Gagal memperbarui templat
Failure,Kegagalan
Failure Logs,Log Kegagalan
Favicon,Favicon
Field,Bidang
Fields Order,Urutan Bidang
"File ""{0}"" was skipped because of invalid file type","File ""{0}"" dilewati karena tipe file tidak valid"
"File ""{0}"" was skipped because only {1} uploads are allowed","File ""{0}"" dilewati karena hanya {1} unggahan yang diizinkan"
"File ""{0}"" was skipped because only {1} uploads are allowed for DocType ""{2}""","File ""{0}"" dilewati karena hanya {1} unggahan yang diizinkan untuk DocType ""{2}"""
Filter,Filter
Filters,Filter
First Name,Nama Depan
First Name is mandatory,Nama Depan wajib diisi
First Responded On,Pertama Kali Direspon Pada
First Response Due,Respon Pertama Jatuh Tempo
First Response TIme,Waktu Respon Pertama
First Response Time,Waktu Respon Pertama
First name,Nama depan
Float Precision,Presisi desimal
For,Untuk
"For all-day events, <b>set a time</b> to send reminders before the event starts","Untuk acara sepanjang hari, <b>atur waktu</b> untuk mengirim pengingat sebelum acara dimulai"
Forecasted revenue,Pendapatan yang diperkirakan
Form,Formulir
Form Script updated successfully,Skrip formulir berhasil diperbarui
Frappe CRM,GARP CRM
Frappe CRM mobile,GARP CRM mobile
Frappe Mail Site,Situs GARP Mail
Friday,Jumat
From,Dari
From Date,Tanggal Mulai
From Number,Dari Nomor
From Type,Tipe Asal
From User,Dari Pengguna
Fulfilled,Terpenuhi
Full Name,Nama Lengkap
Funnel Conversion,Konversi Corong
Funnel conversion,Konversi Funnel
GMT+5:30,GMT+5:30
Gender,Jenis Kelamin
General,Umum
General Settings,Pengaturan Umum
Geographic distribution of deals and revenue,Distribusi geografis kesepakatan dan penerimaan
GitHub Repository,Repositori Github
Go Back,Kembali
Go to Invite Page,Buka Halaman Undangan
Go to Website,Buka Situs Web
Going?,Pergi?
Greater than,Lebih besar dari
Greater than or equal to,Lebih besar dari atau sama dengan
Grid Row,Baris Grid
Group By,Grup Berdasarkan
Group By Field,Grup Berdasarkan Bidang
Group By: ,Grup Berdasarkan: 
Hang Up,Menggantung
Hello,Halo
Help,Bantuan
"Hi John, \n\nCan you please provide more details on this...","Halo John,\n\nBisakah Anda memberikan detail lebih lanjut mengenai ini..."
Hidden,Tersembunyi
Hide,Sembunyikan
Hide Border,Sembunyikan Batas
Hide Label,Sembunyikan Label
Hide Password,Sembunyikan Kata Sandi
Hide Preview,Sembunyikan Pratinjau
Hide Recording,Sembunyikan Rekaman
High,Tinggi
Holiday List,Daftar Hari Libur
Holiday List Name,Nama Daftar Hari Libur
Holidays,Hari Libur
Home Actions,Tindakan Rumah
Hourly,Setiap Jam
ID,ID
Icon,Ikon
"If enabled, a lead will be automatically created when an incoming email is received from an unknown contact.","Jika diaktifkan, prospek akan otomatis dibuat ketika email masuk diterima dari kontak yang tidak dikenal."
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Jika diaktifkan, semua email keluar akan dikirim dari akun ini. Catatan: Hanya satu akun yang dapat menjadi akun pengirim default."
"If enabled, all replies to your company (eg: replies@yourcompany.com) will come to this account. Note: Only one account can be default incoming.","Jika diaktifkan, semua balasan ke perusahaan Anda (misalnya: replies@yourcompany.com) akan masuk ke akun ini. Catatan: Hanya satu akun yang dapat menjadi akun penerima default."
"If enabled, emails will be pulled from this account.","Jika diaktifkan, email akan ditarik dari akun ini."
"If enabled, outgoing emails can be sent from this account.","Jika diaktifkan, email keluar dapat dikirim dari akun ini."
Image,Gambar
Import,Impor
In,Di Dalam
In Progress,Sedang Berjalan
In less than a minute,Dalam waktu kurang dari satu menit
Inbound Call,Panggilan Masuk
Inbox,Kotak Masuk
Incoming,Masuk
Incoming call...,Panggilan masuk...
Incorrect current password. Please try again.,Kata sandi saat ini salah. Silakan coba lagi.
Industries,Industri
Industry,Industri
Initiated,Diinisiasi
Initiating call...,Memulai panggilan...
Insert Email Template,Masukkan Templat Email
Insert Emoji,Sisipkan Emoji
Integration,Integrasi
Integration Not Enabled,Integrasi Tidak Diaktifkan
Integrations,Integrasi
Integrations,Integrasi
Introduction,Pengantar
Invalid Account SID or Auth Token.,Account SID atau Auth Token tidak valid.
Invalid Email Address,Alamat Email Tidak Valid
Invalid Email or Password,Email atau Kata Sandi Tidak Valid
Invalid Exotel Number,Nomor Exotel Tidak Valid
Invalid GeoJSON,GeoJSON tidak valid
Invalid Site URL,URL Situs tidak valid
Invalid Start Or End Time,Waktu Mulai atau Berakhir Tidak Valid
Invalid Twilio account,Akun Twilio tidak valid
Invalid Twilio application,Aplikasi Twilio tidak valid
Invalid access token provided for Facebook.,Token akses yang diberikan untuk Facebook tidak valid.
Invalid chart name,Nama bagan tidak valid
Invalid credentials,Kredensial tidak valid
Invalid email ID,Alamat email tidak valid
Invalid email address,Alamat email tidak valid
Invalid field,Bidang tidak valid
"Invalid fields, check if all are filled in and values are correct.","Bidang tidak valid, periksa apakah semua sudah terisi dan nilainya benar."
"Invalid format. Try: 1 hour 30 minutes, 2 hours, 45 seconds, 1:30:45, 90s","Formatnya tidak valid. Coba: 1 jam 30 menit, 2 jam, 45 detik, 1:30:45, 90 detik"
"Invalid format. Try: 1h 30m 45s, 1:30:45, 90s","Formatnya tidak valid. Coba: 1 jam 30 menit 45 detik, 1:30:45, 90 detik"
Invalid lead details supplied.,Detail prospek yang diberikan tidak valid.
Invalid or expired key,Kunci tidak valid atau kedaluwarsa
Invalid page or not permitted to access,Halaman tidak valid atau tidak diizinkan untuk diakses
Invitations sent successfully,Undangan berhasil dikirim
Invite Agent,Undang Agen
Invite As,Undang Sebagai
Invite By Email,Undang Melalui Email
Invite New User,Undang Pengguna Baru
Invite User,Undang Pengguna
Invite Users,Undang Pengguna
Invite users to access CRM. Specify their roles to control access and permissions,Undang pengguna untuk mengakses CRM. Tentukan peran mereka untuk mengontrol akses dan izin
Invite your team,Undang tim Anda
Invited By,Diundang Sebagai
Is,Berstatus
Is Default,Default
Is ERPNext installed on a different site?,GARP ERP terpasang di situs berbeda?
Is Group,Grup
Is Primary,Utama
Is Standard,Standar
"It will make deal's ""Expected Closure Date"" & ""Expected Deal Value"" mandatory to get accurate forecasting insights","Mengaktifkan ini akan mewajibkan pengisian ""Tanggal Perkiraan Penutupan"" & ""Nilai Perkiraan Kesepakatan"" untuk mendapatkan gambaran perkiraan yang akurat"
Items must be a list,Item harus berupa daftar
JSON,JSON
Job Title,Jabatan
John Doe,John Doe
"John, Jane, Doe","John, Jane, Doe"
Kanban,Kanban
Kanban Columns,Kolom Kanban
Kanban Fields,Bidang Kanban
Kanban Settings,Pengaturan Kanban
Key,Kunci
Label,Label
Language,Bahasa
Language & Time,Bahasa & Waktu
Last,Terakhir
Last 30 Days,30 Hari Terakhir
Last 6 Months,6 Bulan Terakhir
Last 60 Days,60 Hari Terakhir
Last 7 Days,7 Hari Terakhir
Last 90 Days,90 Hari Terakhir
Last Modified,Terakhir Dimodifikasi
Last Month,Bulan Lalu
Last Name,Nama Belakang
Last Quarter,Kuartal Lalu
Last Responded On,Terakhir Ditanggapi Pada
Last Response Time,Waktu Respons Terakhir
Last Status Change Log,Log Perubahan Status Terakhir
Last Synced At,Terakhir Disinkronkan Pada
Last Week,Minggu Lalu
Last Year,Tahun Lalu
Last name,Nama belakang
Last user assigned by this rule,Pengguna terakhir yang ditetapkan berdasarkan aturan ini
Layout,Layout
Lead,Prospek
Lead Data,Data Timbal
Lead Details,Detail Prospek
Lead Name,Nama Prospek
Lead Owner,Pemilik Prospek
Lead Owner cannot be same as the Lead Email Address,Pemilik Prospek tidak boleh sama dengan Alamat Email Prospek
Lead Sources,Sumber Prospek
Lead Statuses,Status Prospek
Lead Sync Source,Sumber Sinkronisasi Utama
Lead Syncing,Sinkronisasi Timbal
Lead generation channel analysis,Analisis saluran perolehan prospek
Lead sync initiated.,Sinkronisasi prospek dimulai.
Lead sync source deleted successfully,Sumber sinkronisasi prospek berhasil dihapus
Lead to deal conversion pipeline,Pipeline konversi prospek menjadi kesepakatan
Leads,Prospek
Leads by Source,Dipimpin berdasarkan Sumber
Leads by source,Prospek berdasarkan sumber
Learn about conditions,Pelajari tentang kondisi
Left,Left
Less than,Kurang dari
Less than or equal to,Kurang dari atau sama dengan
Library,Pustaka
Light,Terang
Like,Mirip
Link,Tautan
Linked With,Terhubung Dengan
Links,Tautan
List,Daftar
Listen,Dengarkan
Load Default Columns,Muat Kolom Default
Load More,Muat lebih banyak
Loading...,Memuat...
Location,Lokasi
Log,Log
Log ID,Log ID
Log a Call,Catat Panggilan
Login to Frappe Cloud?,Masuk ke GARP Cloud?
Login with Different Account,Masuk dengan Akun Berbeda
Logo,Logo
Lost,Gagal
Lost Deal Reasons,Alasan Kehilangan Kesepakatan
Lost Details,Detail yang Hilang
Lost Notes,Catatan Kegagalan
Lost Reason,Alasan Kegagalan
Lost Reason is required,Alasan Hilang diperlukan
Lost deal reasons,Alasan gagalnya kesepakatan
Low,Rendah
Make Call,Lakukan Panggilan
Make Private,Jadikan Privat
Make Public,Jadikan Publik
Make a Call,Lakukan Panggilan
Make attachment {0},Buat lampiran {0}
Make {0},Buat {0}
Make {0} as default calling medium,Jadikan {0} sebagai media panggilan default
"Makes ""Expected Closure Date"" and ""Expected Deal Value"" mandatory for deal value forecasting","Menjadikan ""Tanggal Penutupan yang Diharapkan"" dan ""Nilai Kesepakatan yang Diharapkan"" wajib diisi untuk prakiraan nilai kesepakatan"
"Manage CRM users by adding or inviting them, and assign roles to control their access and permissions","Kelola pengguna CRM dengan menambah atau mengundang mereka, dan berikan peran untuk mengontrol akses dan izin mereka"
Manage ERPNext integration settings,Kelola pengaturan integrasi GARP ERP
Manage your account emails and email signature for communication.,Kelola email akun Anda dan tanda tangan email untuk komunikasi.
Manage your email accounts to send and receive emails directly from CRM. You can add multiple accounts and set one as default for incoming and outgoing emails.,Kelola akun email Anda untuk mengirim dan menerima email langsung dari CRM. Anda dapat menambahkan beberapa akun dan menetapkan salah satunya sebagai default untuk email masuk dan keluar.
Manage your email signature,Kelola tanda tangan email Anda
Manage your profile & login information.,Kelola profil & informasi login Anda.
Manage your service level agreement policies,Kelola kebijakan perjanjian tingkat layanan Anda
Manager,Manajer
Mandatory field error: {0},Kesalahan bidang wajib: {0}
Manual,Manual
Mapped to CRM Field,Dipetakan ke Bidang CRM
Mark all as read,Tandai semua sebagai telah dibaca
Mark lead/deal as replied on response,Tandai prospek/kesepakatan sebagai balasan pada tanggapan
Masters,Data Master
"May 1, 2025",1 Mei 2025
Maybe,Mungkin
Medium,Media
Mention,Sebutan
Mentions,Sebutan
Message,Pesan
Middle Name,Nama Tengah
Minimize,Memperkecil
Missed Call,Panggilan Tak Terjawab
Mobile App Installation,Instalasi Aplikasi Seluler
Mobile No.,No. Ponsel
Mobile No. should be a number,Nomor Ponsel harus berupa angka
Mobile Number,Nomor Ponsel
Mobile Number Missing,Nomor Ponsel Hilang
Monday,Senin
Month,Bulan
Monthly,Bulanan
More Options,Opsi Lainnya
Move Last Column to Previous Section,Pindahkan Kolom Terakhir ke Bagian Sebelumnya
Move Last Column to Previous Tab,Pindahkan Kolom Terakhir ke Tab Sebelumnya
Move to Next Tab,Pindah ke Tab Berikutnya
Move to Previous Tab,Pindah ke Tab Sebelumnya
My Open Deals,Kesepakatan Terbuka Saya
Name,Nama
Name is required,Nama wajib diisi
Naming Series,Seri Penamaan
Nested Conditions,Kondisi Bersarang
Net Amount,Jumlah Bersih
Net Total,Total Bersih
New,Baru
New Address,Alamat baru
New Assignment Rule,Aturan Penugasan Baru
New Comment,Komentar Baru
New Contact,Kontak baru
New Email,Email Baru
New Event,Acara baru
New Lead Sync Source,Sumber Sinkronisasi Prospek Baru
New Message,Pesan Baru
New Note,Catatan Baru
New Organization,Organisasi Baru
New Password,Kata Sandi Baru
New SLA Policy,Kebijakan SLA Baru
New SLA Policy Name,Nama Kebijakan SLA Baru
New Section,Bagian Baru
New Tab,Tab Baru
New Task,Tugas Baru
New Template,Templat Baru
New contact will be created based on the person's details,Kontak baru akan dibuat berdasarkan detail orang tersebut
New organization will be created based on the data in details section,Organisasi baru akan dibuat berdasarkan data di bagian detail
New password cannot be the same as current password,Kata sandi baru tidak boleh sama dengan kata sandi saat ini
New password cannot be the same as current password. Please choose a different password.,Kata sandi baru tidak boleh sama dengan kata sandi saat ini. Silakan pilih kata sandi lain.
New {0},Baru {0}
Next 6 Months,6 Bulan ke Depan
Next Month,Bulan Depan
Next Quarter,Kuartal Depan
Next Step,Langkah Selanjutnya
Next Week,Minggu Depan
Next Year,Tahun Depan
No,Tidak
No Answer,Tidak Dijawab
No Contacts Added,Tidak Ada Kontak yang Ditambahkan
No Data,Tidak Ada Data
No Details Added,Tidak Ada Detail yang Ditambahkan
No Events Scheduled,Tidak Ada Acara yang Dijadwalkan
No Failure Logs Found,Tidak Ditemukan Log Kegagalan
No Label,Tidak Ada Label
No Mobile Number Set,Tidak Ada Nomor Ponsel yang Ditetapkan
No New Notifications,Tidak Ada Pemberitahuan Baru
No Primary Contact Set,Tidak Ada Kumpulan Kontak Utama
No Priorities in the list,Tidak ada Prioritas dalam daftar
No Templates Found,Tidak Ada Templat yang Ditemukan
No Title,Tanpa Judul
No Users Found,Tidak Ada Pengguna yang Ditemukan
No Website Found,Tidak Ada Situs Web yang Ditemukan
No Workdays in the List,Tidak Ada Hari Kerja dalam Daftar
No changes made,Tidak ada perubahan yang dibuat
No companies found in the given site,Tidak ada perusahaan yang ditemukan di situs tertentu
No events coming up. Create a new one to keep things on track.,Tidak ada acara yang akan datang. Buat yang baru agar semuanya tetap pada jalurnya.
No holiday list found,Tidak ada daftar hari libur yang ditemukan
No results found,Hasil tidak ditemukan
No {0} Found,{0} tidak ditemukan
No {0} found,Tidak ada {0} yang ditemukan
No.,TIDAK.
No. of Employees,Jumlah Karyawan
Normal,Normal
Not Allowed,Tidak Diizinkan
Not Saved,Tidak Disimpan
Not Synced,Tidak Disinkronkan
Not allowed to add contact to Deal,Tidak diizinkan menambahkan kontak ke Kesepakatan
Not allowed to convert Lead to Deal,Tidak diizinkan mengonversi Prospek menjadi Kesepakatan
Not allowed to remove contact from Deal,Tidak diizinkan menghapus kontak dari Kesepakatan
Not allowed to set primary contact for Deal,Tidak diizinkan mengatur kontak utama untuk Kesepakatan
Not equals,Tidak setara
Not implemented yet!,Belum diterapkan!
Not in,Tidak masuk
Not like,Tidak seperti
Not permitted,Tidak diperbolehkan
Not permitted to access the referenced WhatsApp message.,Tidak diizinkan mengakses pesan WhatsApp yang direferensikan.
Not permitted to modify fields layout,Tidak diizinkan mengubah tata letak bidang
Note,Catatan
Note deleted,Catatan dihapus
Notes,Catatan
Notes View,Tampilan Catatan
Notification,Notifikasi
Notification Text,Teks Notifikasi
Notification Type Doc,Dokumen Tipe Notifikasi
Notification Type Doctype,DocType Tipe Notifikasi
Notifications,Notifikasi
Number,Nomor
Number Chart,Bagan Angka
Number Format,Format angka
Number of deals,Jumlah kesepakatan
Number of deals and total value per salesperson,Jumlah kesepakatan dan nilai total per tenaga penjualan
Number of decimal places for non-currency numeric fields,Jumlah tempat desimal untuk bidang numerik non-mata uang
Number of decimal places used for all currency values,Jumlah tempat desimal yang digunakan untuk semua nilai mata uang
Old Condition,Kondisi Lama
Old Conditions,Kondisi Lama
Old Parent,Induk Lama
On Hold,Ditunda
Ongoing,Sedang Berjalan
Ongoing Deals,Penawaran yang Sedang Berlangsung
Ongoing deals,Kesepakatan yang sedang berjalan
Only System Managers can assign the Sales Manager role,Hanya Manajer Sistem yang dapat menetapkan peran Manajer Penjualan
Only System Managers can assign the System Manager role,Hanya Manajer Sistem yang dapat menetapkan peran Manajer Sistem
Only System Managers can modify other System Managers,Hanya Manajer Sistem yang dapat memodifikasi Manajer Sistem lainnya
Only image files are allowed,Hanya file gambar yang diizinkan
Only one {0} can be set as primary.,Hanya satu {0} yang dapat dijadikan utama.
Only sales users can access WhatsApp features.,Hanya pengguna penjualan yang dapat mengakses fitur WhatsApp.
Open,Buka
Open Deal,Buka Kesepakatan
Open Lead,Buka Prospek
Open Nested Conditions,Buka Kondisi Bersarang
Open Website,Buka Situs Web
Open in Portal,Buka di Portal
Open in new window,Buka di jendela baru
Operator,Operator
Options,Opsi
Or create leads manually,Atau buat prospek secara manual
Order By,Urutkan Berdasarkan
Organization,Organisasi
Organization Details,Detail Organisasi
Organization Logo,Logo Organisasi
Organization Name,Nama Organisasi
Organization is required to create a customer,Organisasi diperlukan untuk menciptakan pelanggan
Organizations,Organisasi
Organizer,Penyelenggara
Other Features,Fitur Lainnya
Others,Yang lain
Outbound Call,Panggilan Keluar
Outgoing,Keluar
Owner,Pemilik
Page,Halaman
Page Name,Nama Halaman
Parent CRM Territory,Wilayah CRM Induk
Password,Kata Sandi
Password Updated Successfully,Kata Sandi Berhasil Diperbarui
Password cannot be reset by Demo User {},Kata sandi tidak dapat direset oleh Pengguna Demo {}
Password is required,Kata sandi wajib diisi
Password must be at least 8 characters,Kata sandi minimal harus 8 karakter
"Password must contain lowercase, uppercase, number, and symbol","Kata sandi harus mengandung huruf kecil, huruf besar, angka, dan simbol"
Password updated successfully,Kata sandi berhasil diperbarui
Passwords do not match,Kata sandi tidak cocok
Passwords match,Kata sandi cocok
Payment Reminder,Pengingat Pembayaran
Payment Reminder from Frappé - (#{{ name }}),Pengingat Pembayaran dari Frappé - (#{{ name }})
Pending,Tertunda
Pending Invites,Undangan Tertunda
Period,Periode
Person,Orang
Personal Mobile No.,Nomor Ponsel Pribadi.
Phone,Telepon
Phone Numbers,Nomor Telepon
Pin View,Sematkan Tampilan
Pinned,Disematkan
Pinned View,Tampilan yang Disematkan
Pinned Views,Tampilan yang Disematkan
Playback Speed,Kecepatan Pemutaran
Please check your access token,Silakan periksa token akses Anda
Please enable twilio settings before making a call.,Harap aktifkan pengaturan Twilio sebelum melakukan panggilan.
Please enter a valid URL,Harap masukkan URL yang valid
Please fix the errors in the form,Harap perbaiki kesalahan pada formulir
Please select a Priority,Silakan pilih Prioritas
Please select a currency before saving.,Harap pilih mata uang sebelum menyimpan.
Please select a lead gen form before syncing!,Silakan pilih formulir perolehan prospek sebelum menyinkronkan!
Please select an existing contact,Harap pilih kontak yang sudah ada
Please select an existing organization,Harap pilih organisasi yang sudah ada
Please select weekly off day,Silakan pilih dari hari mingguan
Please set a mobile number to make calls,Silakan atur nomor ponsel untuk melakukan panggilan
Please set a website to visit,Silakan tetapkan situs web yang akan dikunjungi
Please set an email address to send emails,Silakan atur alamat email untuk mengirim email
Please setup Exotel intergration,Harap atur integrasi Exotel
Please specify a reason for losing the deal.,Mohon sebutkan alasan kesepakatan ini gagal.
Please specify a reason for losing the lead.,Silakan tentukan alasan kehilangan keunggulan.
Please specify the reason for losing the deal.,Mohon sebutkan alasan utama kesepakatan ini gagal.
Please specify the reason for losing the lead.,Silakan sebutkan alasan hilangnya keunggulan.
Policy Name,Nama Kebijakan
Position,Posisi
Preferences,Preferensi
Preferences Updated Successfully,Preferensi Berhasil Diperbarui
Primary,Utama
Primary Contact Set,Kumpulan Kontak Utama
Primary email,Email utama
Primary mobile no,Nomor ponsel utama
Primary phone,Telepon utama
Priorities,Prioritas
Priorities must be unique,Prioritas harus unik
Priority,Prioritas
Private,Privat
Private or Public,Swasta atau Publik
Probability,Probabilitas
Product,Produk
Product Code,Kode Produk
Product Name,Nama Produk
Products,Produk
Profile,Profil
Profile Updated Successfully,Profil Berhasil Diperbarui
Projected vs actual revenue based on deal probability,Pendapatan yang diproyeksikan vs pendapatan aktual berdasarkan probabilitas kesepakatan
Public,Publik
Public View,Tampilan Publik
Public Views,Tampilan Publik
Quantity,Kuantitas
Questions,Pertanyaan
Queued,Dalam Antrian
Quick Entry,Entri Cepat
Quick Entry Layout,Tata Letak Entri Cepat
Quick Filters,Filter Cepat
Quick filters updated successfully,Filter cepat berhasil diperbarui
Rate,Harga
Read,Dibaca
Reason,Alasan
Record Calls,Rekam Panggilan
Record Outgoing Calls,Rekam Panggilan Keluar
Recording URL,URL Rekaman
Recording URL not found,URL rekaman tidak ditemukan
Reference Doc,Dokumen Referensi
Reference Doctype,Doctype Referensi
Reference Document Type,Tipe dokumen referensi
Reference Name,Nama Referensi
Referenced WhatsApp message does not exist.,Pesan WhatsApp yang direferensikan tidak ada.
Refresh,Segarkan
Refresh Apps,Segarkan Aplikasi
Refresh Companies,Segarkan Perusahaan
Reject,Tolak
Reject Call,Tolak Panggilan
Reload Columns,Muat Ulang Kolom
"Reminders will be sent <b>before the event starts</b>, based on the configured time","Pengingat akan dikirim <b>sebelum acara dimulai</b>, berdasarkan waktu yang dikonfigurasi"
Remove,Hapus
Remove All,Hapus semua
Remove Group,Hapus Grup
Remove Image,Hapus Gambar
Remove Last Column,Hapus Kolom Terakhir
Remove Last Column (move fields to previous),Hapus Kolom Terakhir (pindahkan kolom ke sebelumnya)
Remove Photo,Hapus Foto
Remove Section,Hapus Bagian
Remove Tab,Hapus Tab
Reopen lead/deal on new communication,Buka kembali prospek/kesepakatan pada komunikasi baru
Reply,Balas
Reply All,Balas Semua
Report an Issue,Laporkan masalah
Required Fields,Bidang Wajib
Reset,Reset
Reset Changes,Reset Perubahan
Reset ERPNext Form Script,Reset Skrip Formulir GARP ERP
Reset to Default,Reset ke Pengaturan Default
Responded On,Ditanggapi Pada
Response & Follow Up,Respon & Tindak Lanjut
Response By,Batas Respon
Response Details,Detail Respon
Response Time,Waktu Respons
Response Time is required,Waktu Respons diperlukan
Restart the SLA each time the customer replies (status changes to Open) and fulfill it when marked as Replied,Mulai ulang SLA setiap kali pelanggan membalas (status berubah menjadi Terbuka) dan penuhi ketika ditandai sebagai Dibalas
Restore,Pulihkan
Restore Defaults,Kembalikan ke Pengaturan Default
Restore Demo Data,Pulihkan Data Demo
Retake,Ambil ulang
Retry Sync,Coba Sinkronisasi lagi
Revenue,Pendapatan
Rich Text,Teks Berformat
Right,Right
Ringing,Berdering
Ringing...,Berdering...
Role,Peran
Rolling Response Due,Batas Waktu Respons Bergulir
Rolling Responses,Tanggapan Bergulir
Route,Route
Route Name,Nama Route
Rows,Baris
SLA,SLA
SLA Creation,Pembuatan SLA
SLA Name,Nama SLA
SLA Policies,Kebijakan SLA
SLA Policy Created,Kebijakan SLA Dibuat
SLA Policy Deleted,Kebijakan SLA Dihapus
SLA Policy Duplicated,Kebijakan SLA Diduplikasi
SLA Policy Name is required,Nama Kebijakan SLA wajib diisi
SLA Policy Status Updated,Status Kebijakan SLA Diperbarui
SLA Policy Updated,Kebijakan SLA Diperbarui
SLA Status,Status SLA
SLA set as default cannot be disabled,SLA yang ditetapkan sebagai default tidak dapat dinonaktifkan
SUBJECT,SUBJEK
Sales Manager,Manajer Penjualan
Sales Trend,Tren Penjualan
Sales User,Pengguna Penjualan
Sales trend,Tren Penjualan
Salesperson,Tenaga Penjualan
Salutation,Sapaan
Saturday,Sabtu
Save,Simpan
Save Changes,Simpan Perubahan
Saved View,Tampilan Tersimpan
Saved Views,Tampilan Tersimpan
Schedule a task...,Jadwalkan tugas...
Schedule an Event,Jadwalkan Acara
Script,Skrip
Search,Pencarian
Search Template,Templat Pencarian
Search User,Cari Pengguna
Section,Bagian
See All Participants,Lihat Semua Peserta
Select,Pilih
Select Company,Pilih Perusahaan
Select Currency,Pilih Mata Uang
Select Holiday List,Pilih Daftar Liburan
Select Medium,Pilih Sedang
Select Priority,Pilih Prioritas
Select Provider,Pilih Penyedia
Select Range,Pilih Rentang
Select Type,Pilih Jenis
Select Workday,Pilih Hari Kerja
Select a Twilio App for your CRM,Pilih Aplikasi Twilio untuk CRM Anda
Select a Value,Pilih Nilai
Select an Option,Pilih sebuah Opsi
Select the deal status to trigger the auto customer creation in ERPNext,Pilih status transaksi untuk memicu pembuatan pelanggan otomatis di GARP ERP
Select the default view for your calendar. This will be the initial view when you open the calendar,Pilih tampilan default untuk kalender Anda. Ini akan menjadi tampilan awal saat Anda membuka kalender
Select whether to display time with or without seconds,Pilih apakah akan menampilkan waktu dengan atau tanpa detik
Select your ERPNext company to connect with,Pilih perusahaan GARP ERP Anda untuk dihubungkan
Select {0},Pilih {0}
Send,Kirim
Send Invites,Kirim Undangan
Send Invites To,Kirim Undangan Ke
Send Template,Kirim Templat
Send an Email,Kirim Email
Send email,Kirim email
Sending comment...,Mengirim komentar...
Sending email...,Mengirim email...
Separator,Pemisah
Series,Seri Penamaan
Service Level Agreement,Persetujuan tingkat layanan
Service Provider,Penyedia Layanan
Set,Tetapkan
Set As Default,Tetapkan Sebagai Default
Set As Primary,Tetapkan Sebagai Utama
Set Currency,Tetapkan Mata Uang
Set Default Priority,Tetapkan Prioritas Default
Set First Name,Tetapkan Nama Depan
Set Location,Tetapkan Lokasi
Set all as private,Atur semua sebagai privat
Set all as public,Atur semua sebagai publik
Set an Organization,Tetapkan Organisasi
Set as Primary Contact,Atur sebagai Kontak Utama
